Data Updated Date,Overdose ED Visit Year and Quarter,Overdose ED Visit Months,Overdose ED Visit Drug Type,Overdose ED Visit Patient Geography Level,Overdose ED Visit Patient Geography Name,Overdose ED Visit Patient FIPS,Combined Locality,Overdose ED Visit Count,Overdose ED Visit Count Quarterly Trend,"Overdose ED Visit Rate per 10,000 visits","Overdose ED Visit Rate per 10,000 visits Quarterly Trend"
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Fluvanna,51065,No,10,▲ Increase,40.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Franklin County,51067,No,20,▼ Decrease,30.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Fredericksburg,51630,No,11,▼ Decrease,23.3,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Giles,51071,No,13,▲ Increase,44.4,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Gloucester,51073,No,15,▼ Decrease,28.7,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Goochland,51075,No,6,▼ Decrease,26.6,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Greene,51079,No,10,▲ Increase,29.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Halifax,51083,No,17,▼ Decrease,35.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Hampton,51650,No,73,▲ Increase,37.7,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Hanover,51085,No,35,▼ Decrease,30,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Henrico,51087,No,213,▼ Decrease,53.2,► Stable
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Highland,51091,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Isle of Wight,51093,No,16,▲ Increase,34.1,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,James City,51095,No,38,▼ Decrease,31.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,King and Queen,51097,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,King George,51099,No,5,▼ Decrease,17.3,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,King William,51101,No,7,▼ Decrease,29.7,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Lancaster,51103,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Lee,51105,No,14,▼ Decrease,41.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Loudoun,51107,No,90,▼ Decrease,27.8,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Louisa,51109,No,19,▼ Decrease,34.3,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Lunenburg,51111,No,6,▼ Decrease,49.5,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Lynchburg,51680,No,84,► Stable,84.3,► Stable
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Madison,51113,No,6,▲ Increase,40.8,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Mathews,51115,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Mecklenburg,51117,No,14,▼ Decrease,32.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Middlesex,51119,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Nelson,51125,No,10,▲ Increase,62.7,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,New Kent,51127,No,16,▲ Increase,43.8,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Newport News,51700,No,83,▼ Decrease,28.7,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Norfolk,51710,No,137,▼ Decrease,38.1,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Northampton,51131,No,5,▼ Decrease,29.1,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Northumberland,51133,No,7,▲ Increase,29.1,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Nottoway,51135,No,10,▼ Decrease,37.3,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Orange,51137,No,17,▼ Decrease,36,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Page,51139,No,11,▲ Increase,24.1,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Patrick,51141,No,8,▲ Increase,73.3,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Poquoson,51735,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Portsmouth,51740,No,109,▼ Decrease,58.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Powhatan,51145,No,17,▲ Increase,58,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Prince Edward,51147,No,7,▼ Decrease,16.7,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Pulaski,51155,No,28,▼ Decrease,49.3,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Rappahannock,51157,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Richmond City,51760,No,268,▼ Decrease,62.8,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Richmond County,51159,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Russell,51167,No,11,▼ Decrease,31.6,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Scott,51169,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Shenandoah,51171,No,20,▲ Increase,29.1,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Smyth,51173,No,22,▲ Increase,47.4,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Spotsylvania,51177,No,52,► Stable,24.3,► Stable
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Stafford,51179,No,43,▼ Decrease,26.1,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Suffolk,51800,No,29,▼ Decrease,18.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Surry,51181,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Sussex,51183,No,9,▼ Decrease,37.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Tazewell,51185,No,35,► Stable,61,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Virginia Beach,51810,No,171,▼ Decrease,33.7,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Warren,51187,No,26,▲ Increase,44.3,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Westmoreland,51193,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Williamsburg,51830,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Wythe,51197,No,18,▼ Decrease,33,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,York,51199,No,13,▼ Decrease,30.3,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Albemarle County and Charlottesville City,51003,Yes,47,▼ Decrease,33.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Albemarle County and Charlottesville City,51540,Yes,47,▼ Decrease,33.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Alleghany County and Covington City,51005,Yes,19,▲ Increase,41.1,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Alleghany County and Covington City,51580,Yes,19,▲ Increase,41.1,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Augusta County, Staunton City, and Waynesboro City",51015,Yes,73,▼ Decrease,43.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Augusta County, Staunton City, and Waynesboro City",51790,Yes,73,▼ Decrease,43.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Augusta County, Staunton City, and Waynesboro City",51820,Yes,73,▼ Decrease,43.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Chesterfield County and Colonial Heights City,51041,Yes,181,▼ Decrease,35.9,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Chesterfield County and Colonial Heights City,51570,Yes,181,▼ Decrease,35.9,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Fairfax County, Fairfax City, and Falls Church City",51059,Yes,317,▲ Increase,35.9,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Fairfax County, Fairfax City, and Falls Church City",51600,Yes,317,▲ Increase,35.9,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Fairfax County, Fairfax City, and Falls Church City",51610,Yes,317,▲ Increase,35.9,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Frederick County and Winchester City,51069,Yes,37,▼ Decrease,28.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Frederick County and Winchester City,51840,Yes,37,▼ Decrease,28.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Grayson County and Galax City,51077,Yes,21,▲ Increase,62.5,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Grayson County and Galax City,51640,Yes,21,▲ Increase,62.5,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Greensville County and Emporia City,51081,Yes,6,▼ Decrease,19.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Greensville County and Emporia City,51595,Yes,6,▼ Decrease,19.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Henry County and Martinsville City,51089,Yes,57,▼ Decrease,56,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Henry County and Martinsville City,51690,Yes,57,▼ Decrease,56,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Montgomery County and Radford City,51121,Yes,48,▲ Increase,47,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Montgomery County and Radford City,51750,Yes,48,▲ Increase,47,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Pittsylvania County and Danville City,51143,Yes,103,▲ Increase,60.5,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Pittsylvania County and Danville City,51590,Yes,103,▲ Increase,60.5,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Prince George County, Hopewell City, and Petersburg City",51149,Yes,104,▲ Increase,35.7,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Prince George County, Hopewell City, and Petersburg City",51670,Yes,104,▲ Increase,35.7,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Prince George County, Hopewell City, and Petersburg City",51730,Yes,104,▲ Increase,35.7,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Prince William County, Manassas City, and Manassas Park City",51153,Yes,125,▼ Decrease,26.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Prince William County, Manassas City, and Manassas Park City",51683,Yes,125,▼ Decrease,26.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Prince William County, Manassas City, and Manassas Park City",51685,Yes,125,▼ Decrease,26.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Roanoke County, Roanoke City, and Salem City",51161,Yes,165,▼ Decrease,47.9,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Roanoke County, Roanoke City, and Salem City",51770,Yes,165,▼ Decrease,47.9,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Roanoke County, Roanoke City, and Salem City",51775,Yes,165,▼ Decrease,47.9,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Rockbridge County, Buena Vista City, and Lexington City",51163,Yes,21,▲ Increase,45.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Rockbridge County, Buena Vista City, and Lexington City",51530,Yes,21,▲ Increase,45.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,"Rockbridge County, Buena Vista City, and Lexington City",51678,Yes,21,▲ Increase,45.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Rockingham County and Harrisonburg City,51165,Yes,56,▲ Increase,35.9,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Rockingham County and Harrisonburg City,51660,Yes,56,▲ Increase,35.9,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Southampton County and Franklin City,51175,Yes,13,▼ Decrease,24.6,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Southampton County and Franklin City,51620,Yes,13,▼ Decrease,24.6,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Washington County and Bristol City,51191,Yes,28,▲ Increase,60.4,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Washington County and Bristol City,51520,Yes,28,▲ Increase,60.4,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Wise County and Norton City,51195,Yes,38,▲ Increase,58.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Wise County and Norton City,51720,Yes,38,▲ Increase,58.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Accomack,51001,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Alexandria,51510,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Amelia,51007,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Amherst,51009,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Appomattox,51011,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Arlington,51013,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Bath,51017,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Bedford,51019,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Bland,51021,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Botetourt,51023,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Brunswick,51025,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Buchanan,51027,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Buckingham,51029,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Campbell,51031,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Caroline,51033,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Carroll,51035,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Charles City,51036,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Charlotte,51037,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Chesapeake,51550,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Clarke,51043,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Craig,51045,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Culpeper,51047,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Cumberland,51049,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Dickenson,51051,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Dinwiddie,51053,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Essex,51057,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Fauquier,51061,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Floyd,51063,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Fluvanna,51065,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Franklin County,51067,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Fredericksburg,51630,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Giles,51071,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Gloucester,51073,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Goochland,51075,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Greene,51079,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Halifax,51083,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Hampton,51650,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Hanover,51085,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Henrico,51087,No,5,▲ Increase,1.2,▲ Increase
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Highland,51091,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Isle of Wight,51093,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,James City,51095,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,King and Queen,51097,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,King George,51099,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,King William,51101,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Lancaster,51103,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Lee,51105,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Loudoun,51107,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Louisa,51109,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Lunenburg,51111,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Lynchburg,51680,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Madison,51113,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Mathews,51115,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Mecklenburg,51117,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Middlesex,51119,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Nelson,51125,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,New Kent,51127,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Newport News,51700,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Norfolk,51710,No,10,▲ Increase,2.8,▲ Increase
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Northampton,51131,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Northumberland,51133,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Nottoway,51135,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Orange,51137,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Page,51139,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Patrick,51141,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Poquoson,51735,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Portsmouth,51740,No,11,▼ Decrease,5.9,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Powhatan,51145,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Prince Edward,51147,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Pulaski,51155,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Rappahannock,51157,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Richmond City,51760,No,7,▼ Decrease,1.6,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Richmond County,51159,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Russell,51167,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Scott,51169,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Shenandoah,51171,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Smyth,51173,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Spotsylvania,51177,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Stafford,51179,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Suffolk,51800,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Surry,51181,No,0,▼ Decrease,0,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Sussex,51183,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Tazewell,51185,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Virginia Beach,51810,No,5,▼ Decrease,1,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Warren,51187,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Westmoreland,51193,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Williamsburg,51830,No,0,► Stable,0,► Stable
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,Wythe,51197,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",Heroin,Locality,York,51199,No,0,► Stable,0,► Stable
